Lag,q,Moment,Observations,Table,Population,LagType,TrainEnd,MaxLag
23,1.5,0.5306095975613149,5412180,equity_parkinson_variance,global,observation,2016-01-01,400
23,2.0,0.5650678476179861,5412180,equity_parkinson_variance,global,observation,2016-01-01,400
23,3.0,0.8726347688467381,5412180,equity_parkinson_variance,global,observation,2016-01-01,400
23,4.0,1.9315610280411575,5412180,equity_parkinson_variance,global,observation,2016-01-01,400
24,1.0,0.5607080494812374,5410655,equity_parkinson_variance,global,observation,2016-01-01,400
24,1.5,0.5315916951156809,5410655,equity_parkinson_variance,global,observation,2016-01-01,400
24,2.0,0.5661262465646109,5410655,equity_parkinson_variance,global,observation,2016-01-01,400
24,3.0,0.8732262445652456,5410655,equity_parkinson_variance,global,observation,2016-01-01,400
24,4.0,1.9279416908962357,5410655,equity_parkinson_variance,global,observation,2016-01-01,400
25,1.0,0.5619473351307455,5409130,equity_parkinson_variance,global,observation,2016-01-01,400
25,1.5,0.533372177604393,5409130,equity_parkinson_variance,global,observation,2016-01-01,400
25,2.0,0.5686339772611757,5409130,equity_parkinson_variance,global,observation,2016-01-01,400
25,3.0,0.8789166761293284,5409130,equity_parkinson_variance,global,observation,2016-01-01,400
25,4.0,1.9449074363131027,5409130,equity_parkinson_variance,global,observation,2016-01-01,400
26,1.0,0.5637407595694249,5407605,equity_parkinson_variance,global,observation,2016-01-01,400
26,1.5,0.5355998188394481,5407605,equity_parkinson_variance,global,observation,2016-01-01,400
26,2.0,0.5713939480587581,5407605,equity_parkinson_variance,global,observation,2016-01-01,400
26,3.0,0.8836754383545992,5407605,equity_parkinson_variance,global,observation,2016-01-01,400
26,4.0,1.9544764010416058,5407605,equity_parkinson_variance,global,observation,2016-01-01,400
27,1.0,0.5635677707090396,5406080,equity_parkinson_variance,global,observation,2016-01-01,400
27,1.5,0.5354556199419773,5406080,equity_parkinson_variance,global,observation,2016-01-01,400
27,2.0,0.5713712811698068,5406080,equity_parkinson_variance,global,observation,2016-01-01,400
27,3.0,0.884968692137236,5406080,equity_parkinson_variance,global,observation,2016-01-01,400
27,4.0,1.9655558352463827,5406080,equity_parkinson_variance,global,observation,2016-01-01,400
28,1.0,0.5639450321612359,5404555,equity_parkinson_variance,global,observation,2016-01-01,400
28,1.5,0.535970543286565,5404555,equity_parkinson_variance,global,observation,2016-01-01,400
28,2.0,0.5719683466825508,5404555,equity_parkinson_variance,global,observation,2016-01-01,400
28,3.0,0.8848997353730234,5404555,equity_parkinson_variance,global,observation,2016-01-01,400
28,4.0,1.9577213934960676,5404555,equity_parkinson_variance,global,observation,2016-01-01,400
29,1.0,0.5648670609729757,5403030,equity_parkinson_variance,global,observation,2016-01-01,400
29,1.5,0.5371799369938215,5403030,equity_parkinson_variance,global,observation,2016-01-01,400
29,2.0,0.5735563489174256,5403030,equity_parkinson_variance,global,observation,2016-01-01,400
29,3.0,0.8882243743291098,5403030,equity_parkinson_variance,global,observation,2016-01-01,400
29,4.0,1.9687134551441947,5403030,equity_parkinson_variance,global,observation,2016-01-01,400
30,1.0,0.5655478062791751,5401505,equity_parkinson_variance,global,observation,2016-01-01,400
30,1.5,0.5380788245300075,5401505,equity_parkinson_variance,global,observation,2016-01-01,400
30,2.0,0.5747007592884821,5401505,equity_parkinson_variance,global,observation,2016-01-01,400
30,3.0,0.8898521577033445,5401505,equity_parkinson_variance,global,observation,2016-01-01,400
30,4.0,1.967118216199139,5401505,equity_parkinson_variance,global,observation,2016-01-01,400
31,1.0,0.5664212780519173,5399980,equity_parkinson_variance,global,observation,2016-01-01,400
31,1.5,0.5390091737538781,5399980,equity_parkinson_variance,global,observation,2016-01-01,400
31,2.0,0.5755758649244532,5399980,equity_parkinson_variance,global,observation,2016-01-01,400
31,3.0,0.8900477381447972,5399980,equity_parkinson_variance,global,observation,2016-01-01,400
31,4.0,1.9651358831373473,5399980,equity_parkinson_variance,global,observation,2016-01-01,400
32,1.0,0.5673376230512596,5398455,equity_parkinson_variance,global,observation,2016-01-01,400
32,1.5,0.5401561328404904,5398455,equity_parkinson_variance,global,observation,2016-01-01,400
32,2.0,0.5770464583115797,5398455,equity_parkinson_variance,global,observation,2016-01-01,400
32,3.0,0.8932979153774376,5398455,equity_parkinson_variance,global,observation,2016-01-01,400
32,4.0,1.9764980240757206,5398455,equity_parkinson_variance,global,observation,2016-01-01,400
33,1.0,0.5668688291828986,5396930,equity_parkinson_variance,global,observation,2016-01-01,400
33,1.5,0.5397709408749619,5396930,equity_parkinson_variance,global,observation,2016-01-01,400
33,2.0,0.5768746742259127,5396930,equity_parkinson_variance,global,observation,2016-01-01,400
33,3.0,0.894396059522618,5396930,equity_parkinson_variance,global,observation,2016-01-01,400
33,4.0,1.9832020260330965,5396930,equity_parkinson_variance,global,observation,2016-01-01,400
34,1.0,0.5682154510633352,5395405,equity_parkinson_variance,global,observation,2016-01-01,400
34,1.5,0.5415942025411451,5395405,equity_parkinson_variance,global,observation,2016-01-01,400
34,2.0,0.5792671516387572,5395405,equity_parkinson_variance,global,observation,2016-01-01,400
34,3.0,0.8985949192985745,5395405,equity_parkinson_variance,global,observation,2016-01-01,400
34,4.0,1.990370206991403,5395405,equity_parkinson_variance,global,observation,2016-01-01,400
35,1.0,0.5688371961959541,5393880,equity_parkinson_variance,global,observation,2016-01-01,400
35,1.5,0.5424301301746431,5393880,equity_parkinson_variance,global,observation,2016-01-01,400
35,2.0,0.5803445603971472,5393880,equity_parkinson_variance,global,observation,2016-01-01,400
35,3.0,0.9003765735920118,5393880,equity_parkinson_variance,global,observation,2016-01-01,400
35,4.0,1.9942711335345644,5393880,equity_parkinson_variance,global,observation,2016-01-01,400
36,1.0,0.5692007377880169,5392355,equity_parkinson_variance,global,observation,2016-01-01,400
36,1.5,0.5428391474912632,5392355,equity_parkinson_variance,global,observation,2016-01-01,400
36,2.0,0.5808584757816417,5392355,equity_parkinson_variance,global,observation,2016-01-01,400
36,3.0,0.9016493964155526,5392355,equity_parkinson_variance,global,observation,2016-01-01,400
36,4.0,1.999063355933358,5392355,equity_parkinson_variance,global,observation,2016-01-01,400
37,1.0,0.5703892568835832,5390830,equity_parkinson_variance,global,observation,2016-01-01,400
37,1.5,0.5442631616145842,5390830,equity_parkinson_variance,global,observation,2016-01-01,400
37,2.0,0.5823927324992642,5390830,equity_parkinson_variance,global,observation,2016-01-01,400
37,3.0,0.9023263583758474,5390830,equity_parkinson_variance,global,observation,2016-01-01,400
37,4.0,1.9906214954442907,5390830,equity_parkinson_variance,global,observation,2016-01-01,400
38,1.0,0.5703362717719825,5389305,equity_parkinson_variance,global,observation,2016-01-01,400
38,1.5,0.5442621833288371,5389305,equity_parkinson_variance,global,observation,2016-01-01,400
38,2.0,0.5824839457726875,5389305,equity_parkinson_variance,global,observation,2016-01-01,400
38,3.0,0.9027650693006074,5389305,equity_parkinson_variance,global,observation,2016-01-01,400
38,4.0,1.9915237625411752,5389305,equity_parkinson_variance,global,observation,2016-01-01,400
39,1.0,0.5701818368490976,5387780,equity_parkinson_variance,global,observation,2016-01-01,400
39,1.5,0.5440757808782692,5387780,equity_parkinson_variance,global,observation,2016-01-01,400
39,2.0,0.5823126561576023,5387780,equity_parkinson_variance,global,observation,2016-01-01,400
39,3.0,0.9028563106697575,5387780,equity_parkinson_variance,global,observation,2016-01-01,400
39,4.0,1.9926939340866485,5387780,equity_parkinson_variance,global,observation,2016-01-01,400
40,1.0,0.5719512516133022,5386255,equity_parkinson_variance,global,observation,2016-01-01,400
40,1.5,0.5464589991723411,5386255,equity_parkinson_variance,global,observation,2016-01-01,400
40,2.0,0.5854463258564077,5386255,equity_parkinson_variance,global,observation,2016-01-01,400
40,3.0,0.9086083969453631,5386255,equity_parkinson_variance,global,observation,2016-01-01,400
40,4.0,2.0041144446112336,5386255,equity_parkinson_variance,global,observation,2016-01-01,400
41,1.0,0.5720435372841458,5384730,equity_parkinson_variance,global,observation,2016-01-01,400
41,1.5,0.5468602520319741,5384730,equity_parkinson_variance,global,observation,2016-01-01,400
41,2.0,0.5862460874267761,5384730,equity_parkinson_variance,global,observation,2016-01-01,400
41,3.0,0.9110706800299837,5384730,equity_parkinson_variance,global,observation,2016-01-01,400
41,4.0,2.0153397146255636,5384730,equity_parkinson_variance,global,observation,2016-01-01,400
42,1.0,0.5725899764547908,5383205,equity_parkinson_variance,global,observation,2016-01-01,400
42,1.5,0.5473802121578932,5383205,equity_parkinson_variance,global,observation,2016-01-01,400
42,2.0,0.586755623368199,5383205,equity_parkinson_variance,global,observation,2016-01-01,400
42,3.0,0.9116909819366242,5383205,equity_parkinson_variance,global,observation,2016-01-01,400
42,4.0,2.015590378130241,5383205,equity_parkinson_variance,global,observation,2016-01-01,400
43,1.0,0.5735270836619792,5381680,equity_parkinson_variance,global,observation,2016-01-01,400
43,1.5,0.5485588923458543,5381680,equity_parkinson_variance,global,observation,2016-01-01,400
43,2.0,0.5881122041824177,5381680,equity_parkinson_variance,global,observation,2016-01-01,400
43,3.0,0.9131265722106859,5381680,equity_parkinson_variance,global,observation,2016-01-01,400
43,4.0,2.015182934078007,5381680,equity_parkinson_variance,global,observation,2016-01-01,400
44,1.0,0.5743127061132707,5380155,equity_parkinson_variance,global,observation,2016-01-01,400
44,1.5,0.5496116798793732,5380155,equity_parkinson_variance,global,observation,2016-01-01,400
44,2.0,0.589597836387071,5380155,equity_parkinson_variance,global,observation,2016-01-01,400
44,3.0,0.9167950158353032,5380155,equity_parkinson_variance,global,observation,2016-01-01,400
44,4.0,2.0265213747376394,5380155,equity_parkinson_variance,global,observation,2016-01-01,400
45,1.0,0.5753658113990777,5378630,equity_parkinson_variance,global,observation,2016-01-01,400
45,1.5,0.5507349032987128,5378630,equity_parkinson_variance,global,observation,2016-01-01,400
