q,Zeta,Intercept,MomentR2,Table,Population
4.0,0.15916021771547037,-0.09503741997751333,0.6240745160852503,crypto_parkinson_variance,DOGE
1.0,0.06976349899546691,-0.7276381044387994,0.9404509319510798,crypto_parkinson_variance,TRX
1.5,0.10187326606173956,-0.8798000138673274,0.9433179267397899,crypto_parkinson_variance,TRX
2.0,0.13209971670851728,-0.9396852076261982,0.9397533760709238,crypto_parkinson_variance,TRX
3.0,0.1872613853100464,-0.844083848255549,0.9148971291626486,crypto_parkinson_variance,TRX
4.0,0.23640754839854794,-0.5203123005955307,0.8595861510795078,crypto_parkinson_variance,TRX
1.0,0.05696346715620046,-0.7299139879668993,0.8585511866950418,crypto_parkinson_variance,HOT
1.5,0.08226187162171203,-0.8849644824460366,0.8744165023652116,crypto_parkinson_variance,HOT
2.0,0.10511851881688766,-0.9484382154826407,0.879370996217687,crypto_parkinson_variance,HOT
3.0,0.1431342204534524,-0.8614996368026814,0.8640544840255961,crypto_parkinson_variance,HOT
4.0,0.1705468938508619,-0.5469269095357413,0.8153985908542651,crypto_parkinson_variance,HOT
1.0,0.053359982316188395,-0.7656354806477705,0.8532568662714883,crypto_parkinson_variance,DENT
1.5,0.07732860696434868,-0.9360185885571353,0.8649191989614591,crypto_parkinson_variance,DENT
2.0,0.09887108193598503,-1.0101887825519114,0.8650382576690656,crypto_parkinson_variance,DENT
3.0,0.13249205275862974,-0.918399376308189,0.8319835862733549,crypto_parkinson_variance,DENT
4.0,0.14992744727486731,-0.544837504445343,0.7346949428160987,crypto_parkinson_variance,DENT
1.0,0.05031155342963151,-0.5582407763731829,0.834346927083089,crypto_parkinson_variance,TROY
1.5,0.07096202893024817,-0.6144990369160599,0.8298886190726508,crypto_parkinson_variance,TROY
2.0,0.08867339366474594,-0.572783227489489,0.8156076363215218,crypto_parkinson_variance,TROY
3.0,0.11499885989874425,-0.25907344533631826,0.7661383872272427,crypto_parkinson_variance,TROY
4.0,0.12756657431429527,0.30608434706285587,0.6764818489591367,crypto_parkinson_variance,TROY
1.0,0.05914740161047308,-0.8477840384182537,0.8524564253212402,crypto_parkinson_variance,RSR
1.5,0.08536759536709192,-1.050147829282944,0.8554592497438872,crypto_parkinson_variance,RSR
2.0,0.10901110559807621,-1.150327462455356,0.8496380249251098,crypto_parkinson_variance,RSR
3.0,0.1478830275212402,-1.0962447094488001,0.8091902115417333,crypto_parkinson_variance,RSR
4.0,0.17562967242539906,-0.7566664275501165,0.7160012165866372,crypto_parkinson_variance,RSR
1.0,0.047919388992427564,-0.6106336332159594,0.8411607356288787,crypto_parkinson_variance,VTHO
1.5,0.06871993388028069,-0.6985425068683387,0.8341372202531517,crypto_parkinson_variance,VTHO
2.0,0.08704644301023745,-0.6896398839374791,0.8158081154658174,crypto_parkinson_variance,VTHO
3.0,0.1161723209570872,-0.4442098130632058,0.7538195792443304,crypto_parkinson_variance,VTHO
4.0,0.13631553943601077,0.03836186488872282,0.6586450236967483,crypto_parkinson_variance,VTHO
1.0,0.05598157027108816,-0.7125072295687933,0.9482078621467437,crypto_garman_klass_variance,global
1.5,0.08454162925809339,-0.8567595497201989,0.9554885023098683,crypto_garman_klass_variance,global
2.0,0.11482623627905382,-0.9102539631808323,0.9634304144131182,crypto_garman_klass_variance,global
3.0,0.1839356188673237,-0.8016239029710602,0.9781299141300882,crypto_garman_klass_variance,global
4.0,0.26228891352048056,-0.4198874352741912,0.9859371134977057,crypto_garman_klass_variance,global
1.0,0.08144830040434858,-0.6997137574008627,0.919832229661001,crypto_garman_klass_variance,BTT
1.5,0.11458281390640264,-0.8000723476172545,0.9279940527937003,crypto_garman_klass_variance,BTT
2.0,0.14149554342860673,-0.773371303295836,0.9321355977890136,crypto_garman_klass_variance,BTT
3.0,0.1719711783273792,-0.36279490707730144,0.911543430955709,crypto_garman_klass_variance,BTT
4.0,0.17105108665251484,0.4829037466487892,0.7742625198396651,crypto_garman_klass_variance,BTT
1.0,0.059548438713830844,-0.655044624279469,0.840309939913189,crypto_garman_klass_variance,WIN
1.5,0.08504640054624854,-0.7640958807189615,0.8416026547521409,crypto_garman_klass_variance,WIN
2.0,0.10769641347560163,-0.7776289895969329,0.8370797263770431,crypto_garman_klass_variance,WIN
3.0,0.14512824808060795,-0.5861116727770589,0.8139898667743792,crypto_garman_klass_variance,WIN
4.0,0.17361945392647773,-0.17481240681595953,0.7721876056066092,crypto_garman_klass_variance,WIN
1.0,0.44933710398136983,-1.6523904974227617,0.9467559960700295,crypto_garman_klass_variance,LUNA
1.5,0.5932431366002889,-1.8200342923571196,0.9717431909222956,crypto_garman_klass_variance,LUNA
2.0,0.688274699292438,-1.670210445445523,0.9847364839444629,crypto_garman_klass_variance,LUNA
3.0,0.7814213602175456,-0.7769425422199043,0.9932635827559033,crypto_garman_klass_variance,LUNA
4.0,0.8103240499896874,0.5055727456462191,0.9945433115343392,crypto_garman_klass_variance,LUNA
1.0,0.045584760279534495,-0.6254396240192139,0.6694152066695884,crypto_garman_klass_variance,DOGE
1.5,0.0682340966373953,-0.7358838002041517,0.6847020499787773,crypto_garman_klass_variance,DOGE
2.0,0.09002363998276453,-0.7581884779705559,0.6888132060100587,crypto_garman_klass_variance,DOGE
3.0,0.12952283890669145,-0.5955539882142332,0.6738329477654139,crypto_garman_klass_variance,DOGE
4.0,0.1619428677817466,-0.21123580248343887,0.6314229944044034,crypto_garman_klass_variance,DOGE
1.0,0.07493884222901925,-0.7732172420609091,0.9492132610136527,crypto_garman_klass_variance,TRX
1.5,0.10823163094781628,-0.9407173809800582,0.9508326794070627,crypto_garman_klass_variance,TRX
2.0,0.1388592404315535,-1.012273017196049,0.9460225668114869,crypto_garman_klass_variance,TRX
3.0,0.19308625995432627,-0.9348705450263705,0.9202330026941238,crypto_garman_klass_variance,TRX
4.0,0.23984789075939225,-0.6328664384576939,0.8699574454463225,crypto_garman_klass_variance,TRX
1.0,0.0591482105113895,-0.7614629069328083,0.8728231659636753,crypto_garman_klass_variance,HOT
1.5,0.08450691025620341,-0.9259440621078519,0.8831592027529263,crypto_garman_klass_variance,HOT
2.0,0.10690943561763899,-0.9953368091055041,0.8842408402018125,crypto_garman_klass_variance,HOT
3.0,0.14248747063839204,-0.9097042045980144,0.8628096061624291,crypto_garman_klass_variance,HOT
4.0,0.16537527403431654,-0.5821915658377778,0.8042770568770159,crypto_garman_klass_variance,HOT
1.0,0.055223973903157975,-0.79608968127424,0.8588709766332941,crypto_garman_klass_variance,DENT
1.5,0.07955298139502172,-0.9763841331454856,0.8714510274335485,crypto_garman_klass_variance,DENT
2.0,0.1009138613082521,-1.055838479551911,0.871690039882585,crypto_garman_klass_variance,DENT
3.0,0.13227995969963688,-0.959189494091454,0.8354369679059165,crypto_garman_klass_variance,DENT
4.0,0.14475326529234137,-0.5593938594167134,0.7244922695907066,crypto_garman_klass_variance,DENT
1.0,0.050046581300598456,-0.5583653882973736,0.8205724342071785,crypto_garman_klass_variance,TROY
1.5,0.0697114697878068,-0.6098418775826596,0.8160616774325418,crypto_garman_klass_variance,TROY
2.0,0.08583064422474421,-0.559897467546304,0.800032329203347,crypto_garman_klass_variance,TROY
3.0,0.10607903842302698,-0.2127343252562893,0.7314648936765911,crypto_garman_klass_variance,TROY
4.0,0.10603996037850129,0.4255783308417012,0.5630917684254877,crypto_garman_klass_variance,TROY
