Lag,q,Moment,Observations,Table,Population
25,3.0,0.6492126711043881,5066405,equity_parkinson_variance,global
25,4.0,1.2556137747001899,5066405,equity_parkinson_variance,global
26,1.0,0.52404788951323,5266450,equity_parkinson_variance,global
26,1.5,0.47548030780295863,5266450,equity_parkinson_variance,global
26,2.0,0.48069267134622506,5266450,equity_parkinson_variance,global
26,3.0,0.654009563837814,5266450,equity_parkinson_variance,global
26,4.0,1.261675994429199,5266450,equity_parkinson_variance,global
27,1.0,0.5253815497922807,7068586,equity_parkinson_variance,global
27,1.5,0.4773238317903333,7068586,equity_parkinson_variance,global
27,2.0,0.4831314747619326,7068586,equity_parkinson_variance,global
27,3.0,0.6581739931619602,7068586,equity_parkinson_variance,global
27,4.0,1.26989828238617,7068586,equity_parkinson_variance,global
28,1.0,0.5244525897527966,8710719,equity_parkinson_variance,global
28,1.5,0.47623855301596485,8710719,equity_parkinson_variance,global
28,2.0,0.481970544312658,8710719,equity_parkinson_variance,global
28,3.0,0.6572182111869708,8710719,equity_parkinson_variance,global
28,4.0,1.269835104647557,8710719,equity_parkinson_variance,global
29,1.0,0.5269236478528602,7060273,equity_parkinson_variance,global
29,1.5,0.4792225741298455,7060273,equity_parkinson_variance,global
29,2.0,0.48538682571016206,7060273,equity_parkinson_variance,global
29,3.0,0.6614474982016679,7060273,equity_parkinson_variance,global
29,4.0,1.275480636950548,7060273,equity_parkinson_variance,global
30,1.0,0.5279804575254262,5253071,equity_parkinson_variance,global
30,1.5,0.48080292951672504,5253071,equity_parkinson_variance,global
30,2.0,0.4877800522089705,5253071,equity_parkinson_variance,global
30,3.0,0.6676865112874436,5253071,equity_parkinson_variance,global
30,4.0,1.295381563972913,5253071,equity_parkinson_variance,global
31,1.0,0.5258111627832285,5056253,equity_parkinson_variance,global
31,1.5,0.47828148084076194,5056253,equity_parkinson_variance,global
31,2.0,0.4850458491484295,5056253,equity_parkinson_variance,global
31,3.0,0.6649400565091349,5056253,equity_parkinson_variance,global
31,4.0,1.292561180902386,5056253,equity_parkinson_variance,global
32,1.0,0.5265291678757086,5070632,equity_parkinson_variance,global
32,1.5,0.4790147521504112,5070632,equity_parkinson_variance,global
32,2.0,0.48567406722131834,5070632,equity_parkinson_variance,global
32,3.0,0.6645804227128926,5070632,equity_parkinson_variance,global
32,4.0,1.2867226608026177,5070632,equity_parkinson_variance,global
33,1.0,0.5281950369424994,5260983,equity_parkinson_variance,global
33,1.5,0.48119243593020333,5260983,equity_parkinson_variance,global
33,2.0,0.48840932291688965,5260983,equity_parkinson_variance,global
33,3.0,0.6689695854493807,5260983,equity_parkinson_variance,global
33,4.0,1.296034908903625,5260983,equity_parkinson_variance,global
34,1.0,0.5300394946435105,7055021,equity_parkinson_variance,global
34,1.5,0.48377332346044394,7055021,equity_parkinson_variance,global
34,2.0,0.49190137089074054,7055021,equity_parkinson_variance,global
34,3.0,0.6757527186191007,7055021,equity_parkinson_variance,global
34,4.0,1.3117704151187564,7055021,equity_parkinson_variance,global
35,1.0,0.529890517681533,8708603,equity_parkinson_variance,global
35,1.5,0.48353745630128353,8708603,equity_parkinson_variance,global
35,2.0,0.49158657327954974,8708603,equity_parkinson_variance,global
35,3.0,0.6750852342558008,8708603,equity_parkinson_variance,global
35,4.0,1.3087763801854706,8708603,equity_parkinson_variance,global
36,1.0,0.5321436526145563,7055105,equity_parkinson_variance,global
36,1.5,0.48634451058905037,7055105,equity_parkinson_variance,global
36,2.0,0.4949522676477732,7055105,equity_parkinson_variance,global
36,3.0,0.6801046657980776,7055105,equity_parkinson_variance,global
36,4.0,1.318914279986896,7055105,equity_parkinson_variance,global
37,1.0,0.532891301794228,5254066,equity_parkinson_variance,global
